Profession,Consumes,Produces,Commission,Cost,AD/Credit,Cost to get 25000,,,,Profession,Name,Tool,Unlock,Consumes,Produces
Blacksmithing,"3x [Silver Vines]
2x [Hardened Feywood]
2x [Ears 'n Tears]
1x [Soulfire Flies]",1x [Commissioned Shadow Cutters],750,"1,172",2,"39,079",,,,Alchemy,Commissioned Fever Reducer,,Masterwork Alchemy Recipes IV,"4x [Red Alder Bark]
4x [Madder Root]
4x [Effervescent Water]
1x [Alkali]",1x [Commissioned Fever Reducer]
Tailoring,"12x [Lacquered Leaves]
4x [Woven Whiskers]
4x [Frozen Dawn's Dew]
2x [Thorned Ornament]",1x [Commissioned Tent Panels],400,0,0,0,,,,Alchemy,Commissioned Hull Coating,,Masterwork Alchemy Recipes IV,"4x [Shark Oil]
4x [Charcoal]
1x [Oil of Vitriol]
2x [Lakh Resin]
2x [Spruce Resin]",1x [Commissioned Hull Coating]
Jewelcrafting,"3x [Silver Vines]
2x [Shadowdemon's Eyes]
2x [Woven Whiskers]
1x [Dawn's Silver Enamel]",1x [Commissioned Shackles],675,"3,562",5,"131,923",,,,Alchemy,Commissioned Incense,,Masterwork Alchemy Recipes IV,"6x [Red Alder Bark]
4x [Burgundy Pitch]
2x [Palm Wax]
2x [Charcoal]
1x [Spruce Lumber]",1x [Commissioned Incense]
Armorsmithing,"4x [Shard of Dawn's Light]
4x [Copper Ingot]
2x [Silvertongue Moss]
2x [Hardened Blight Bark]
2x [Salt-Marsh Crystal]",1x [Commissioned Shieldings],495,"305,335",617,"15,420,951",,,,Alchemy,Commissioned Medicinal Tea,,Masterwork Alchemy Recipes IV,"4x [Chultan Tea Leaves]
4x [Woad]
2x [Senna Leaves]
2x [Chultan Spring Water]",1x [Commissioned Medicinal Tea]
Blacksmithing,"2x [Laminated Adamant Blade]
2x [Feywood Lumber]
1x [Dawn's Silver Enamel]
1x [Soulfire Flies]",1x [Commissioned Blight Slicers],695,"1,172",2,"42,171",,,,Artificing,Commissioned Cambist's Scales,,Masterwork Artificing Recipes IV,"4x [Brass Ingot]
4x [Magicked Enamel]
2x [Gold Wire]
2x [Shark Oil]",1x [Commissioned Cambist's Scales]
Artificing,"4x [Displacer Beast's Whisker]
2x [Silver Vines]
1x [Shard of Dawn's Light]
2x [Dawn's Silver Enamel]",1x [Commissioned Abacus],500,"483,886",968,"24,194,290",,,,Artificing,Commissioned Hull,,Masterwork Artificing Recipes IV,"20x [Teak Lumber]
6x [Oak Lumber]
4x [Titansteel Nails]
2x [Lakh Varnish]",1x [Commissioned Hull]
Tailoring,"6x [Dryad Hair]
4x [Hardened Blight Bark]
4x [Fey Fibers]
2x [Beads of Light]",1x [Commissioned Sleeping Roll],950,"73,858",78,"1,943,643",,,,Artificing,Commissioned Lacquer,,Masterwork Artificing Recipes IV,"4x [Lakh Resin]
4x [Propolis]
2x [Magicked Enamel]
1x [Burgundy Pitch]
1x [Chultan Spring Water]",1x [Commissioned Lacquer]
Armorsmithing,"6x [Silvertongue Moss]
3x [Corpse Flower Thorn]
2x [Troll's Earwax Resin]
1x [Frozen Dawn's Dew]",1x [Commissioned Trap Wires],375,"33,202",89,"2,213,462",,,,Artificing,Commissioned Sextant,,Masterwork Artificing Recipes IV,"4x [Brightsilver Ingot]
2x [Scintillant Glass]
1x [Red Rouge]
2x [Artisan's Enamel]",1x [Commissioned Sextant]
Alchemy,"6x [Hardened Blight Bark]
6x [Troll's Earwax Resin]
2x [Shadowdemon's Eyes]
1x [Feywood Lumber]",1x [Commissioned Blightblockers],1100,"21,910",20,"497,959",,,,Blacksmithing,Commissioned Assassin's Dagger,,Masterwork Weaponsmithing Recipes IV,"3x [Obsidian Shard]
2x [Hardened Bronzewood]
2x [Dark Lacquer]
1x [Artisan's Putty]",1x [Commissioned Assassin's Dagger]
Armorsmithing,"1x [Hardened Blight Bark]
2x [Shard of Dawn's Light]
2x [Soulfire Flies]
1x [Silver Vines]
1x [Dawn's Silver Enamel]",1x [Commissioned Support Braces],515,"77,164",150,"3,745,813",,,,Blacksmithing,Commissioned Butcher's Knife,,Masterwork Weaponsmithing Recipes IV,"4x [Wootz Steel Ignots]
2x [Laminated Steel Blade]
2x [Bronzewood Lumber]
1x [Artisan's Putty]",1x [Commissioned Butcher's Knife]
